Components,Pressure_kPa,Temperature_C,Speed_mms,Cells (e6/ml),Needle_um,Has_Cells,num_components,contains_alginate,contains_gelatin,contains_pcl,contains_gelatin_methacrylated,contains_hydroxyapatite,contains_hyaluronic_acid,contains_pluronic_f127,contains_plga,contains_methylcellulose,contains_beta_tricalcium_phosphate,contains_chitosan,contains_fibrinogen,contains_carbopol,contains_polypropylene_fumarate_ppf,contains_diethyl_fumarate_def,contains_diclofenac_sodium,contains_lactose,contains_polyplasdone,contains_gellan_gum,contains_laponite,contains_glycerol,contains_pegda,contains_collagen,contains_hyaluronic_acid_methacrylated,contains_hydroxypropyl_methylcellulose,alginate_conc,gelatin_conc,pcl_conc,gelatin_methacrylated_conc,hydroxyapatite_conc,hyaluronic_acid_conc,pluronic_f127_conc,plga_conc,methylcellulose_conc,beta_tricalcium_phosphate_conc,chitosan_conc,fibrinogen_conc,carbopol_conc,polypropylene_fumarate_ppf_conc,diethyl_fumarate_def_conc,diclofenac_sodium_conc,lactose_conc,polyplasdone_conc,gellan_gum_conc,laponite_conc,glycerol_conc,pegda_conc,collagen_conc,hyaluronic_acid_methacrylated_conc,hydroxypropyl_methylcellulose_conc,dominant_material_type,total_solid_content,has_synthetic_polymer,has_natural_polymer,volumetric_flow_rate,wall_shear_rate,specific_pressure,throughput_capacity,temp_stress,shear_stress_risk,resolution_capability
PCL [70 wt%] Hydroxyapatite [30 wt%] ,550.0,160.0,0.8,,410.0,False,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.10562034501368883,7.804859012538995,687.4991406260741,134480.0,1,0,0.0024390243842950625
PCL [100 wt%] ,500.0,160.0,1.2,,410.0,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.15843051752053322,11.707288518808491,416.66631944473386,201720.0,1,0,0.0024390243842950625
PCL [70 wt%] Hydroxyapatite [30 wt%] ,570.0,160.0,0.5,,410.0,False,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.06601271563355551,4.878036882836872,1139.9977200045598,84050.0,1,0,0.0024390243842950625
PCL [70 wt%] Beta Tricalcium Phosphate [30 wt%] ,550.0,160.0,0.8,,410.0,False,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.10562034501368883,7.804859012538995,687.4991406260741,134480.0,1,0,0.0024390243842950625
PCL [70 wt%] Hydroxyapatite [15 wt%] Beta Tricalcium Phosphate [15 wt%] ,570.0,160.0,0.7,,410.0,False,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.09241780188697771,6.82925163597162,814.28455102207,117669.99999999999,1,0,0.0024390243842950625
PLGA [100 wt%] ,900.0,110.0,1.5,,200.0,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.0471238898038469,29.999850000749994,599.9996000002667,60000.0,1,1,0.004999999975
PLGA [100 wt%] ,900.0,135.0,0.7,,200.0,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.02199114857512855,13.999930000349996,1285.7124489822158,28000.0,1,1,0.004999999975
PLGA [100 wt%] ,900.0,165.0,0.7,,200.0,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.02199114857512855,13.999930000349996,1285.7124489822158,28000.0,1,1,0.004999999975
PLGA [100 wt%] ,900.0,150.0,1.5,,200.0,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.0471238898038469,29.999850000749994,599.9996000002667,60000.0,1,1,0.004999999975
PLGA [100 wt%] ,900.0,170.0,0.5,,200.0,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.015707963267948967,9.999950000249997,1799.9964000071998,20000.0,1,1,0.004999999975
PLGA [100 wt%] ,750.0,95.0,1.5,,400.0,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.1884955592153876,14.99996250009375,499.9996666668889,240000.0,1,0,0.00249999999375
PLGA [100 wt%] ,800.0,125.0,1.5,,400.0,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.1884955592153876,14.99996250009375,533.3329777780149,240000.0,1,0,0.00249999999375
PLGA [100 wt%] ,900.0,140.0,0.5,,400.0,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.06283185307179587,4.99998750003125,1799.9964000071998,80000.0,1,1,0.00249999999375
PLGA [100 wt%] ,800.0,130.0,1.0,,400.0,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.12566370614359174,9.9999750000625,799.9992000008001,160000.0,1,0,0.00249999999375
PLGA [100 wt%] ,800.0,145.0,0.5,,400.0,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.06283185307179587,4.99998750003125,1599.9968000064,80000.0,1,0,0.00249999999375
PLGA [100 wt%] ,900.0,165.0,4.0,,200.0,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.12566370614359174,79.99960000199998,224.99994375001407,160000.0,1,1,0.004999999975
PLCL [85 wt%] PLGA [15 wt%] ,650.0,155.0,4.2,,200.0,False,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,100.0,1,0,0.13194689145077132,83.99958000209999,154.76186791384097,168000.0,1,1,0.004999999975
Polyurethane [40 wt%] ,250.0,25.0,1.67,,200.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,40.0,1,0,0.05246459731494955,33.399833000834995,149.70050916137177,66800.0,0,0,0.004999999975
Gelatin [35 mg/mL] Fibrinogen [20 mg/mL] Hyaluronic Acid [3 mg/mL] Glycerol [10 %] ,50.0,18.0,2.0,Primary Human Amniotic Fluid-derived Stem Cells (5),300.0,True,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,35.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,Natural_Polymer,68.0,0,1,0.1413716694115407,26.666577778074075,24.99998750000625,180000.0,0,0,0.0033333333222222224
Gelatin [45 mg/mL] Fibrinogen [30 mg/mL] Hyaluronic Acid [3 mg/mL] Glycerol [10 %] ,50.0,18.0,2.0,Primary Rabbit Ear Chondrocytes (40),300.0,True,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,45.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,Natural_Polymer,88.0,0,1,0.1413716694115407,26.666577778074075,24.99998750000625,180000.0,0,0,0.0033333333222222224
Gelatin [35 mg/mL] Fibrinogen [20 mg/mL] Hyaluronic Acid [3 mg/mL] Glycerol [10 %] ,50.0,18.0,2.0,C2C12 Myoblasts (3),300.0,True,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,35.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,Natural_Polymer,68.0,0,1,0.1413716694115407,26.666577778074075,24.99998750000625,180000.0,0,0,0.0033333333222222224
